,favorite_count_mean,favorite_count_sum,favorite_count_var,retweet_count_mean,retweet_count_sum,retweet_count_var,hashtags_count_mean,hashtags_count_sum,hashtags_count_var,hashtags_count_shared,user.tweets_count_mean,user.tweets_count_sum,user.tweets_count_var,is_rumor_sum,thread_length_len,user.verified_mean,user.verified_sum,user.verified_var,hasperiod_mean,hasperiod_sum,hasperiod_var,number_punct_mean,number_punct_sum,number_punct_var,negativewordcount_mean,negativewordcount_sum,negativewordcount_var,positivewordcount_mean,positivewordcount_sum,positivewordcount_var,sentimentscore_mean,sentimentscore_sum,sentimentscore_var,component_count,largest_cc_diameter,intensityscore,rumorspreader
0,0,0,,0,0,,1,1,,0,24066,24066,,0,1,0,0,,3,3,,6,6,,0,0,,0,0,,0,0,,1,1,0,0
1,0,0,,0,0,,0,0,,0,1626,1626,,0,1,0,0,,1,1,,4,4,,0,0,,0,0,,-0.166666666666667,-0.166666666666667,,1,1,0,1
2,1,2,0,0,0,0,0,0,0,0.5,1650.5,3301,0.5,0,2,0,0,0,2,4,2,4,8,0,0,0,0,0,0,0,0.202083333333333,0.404166666666667,0.0296345308956916,1,2,0,0
3,0,0,,0,0,,0,0,,0,3737,3737,,0,1,0,0,,5,5,,6,6,,0,0,,0,0,,0,0,,1,1,0,0
4,0,0,0,0,0,0,1.5,3,4.5,0,10721.5,21443,220.5,0,2,0,0,0,0,0,0,3,6,8,0,0,0,0.5,1,0.5,0.21875,0.4375,0.095703125,2,1,0,0
5,1,1,,0,0,,0,0,,0,51,51,,0,1,0,0,,3,3,,4,4,,0,0,,0,0,,0.2,0.2,,1,1,0,0
6,66,66,,112,112,,0,0,,0,11067,11067,,0,1,0,0,,0,0,,2,2,,0,0,,0,0,,0.0999999999999999,0.0999999999999999,,1,1,0,0
7,0,0,,0,0,,0,0,,0,2466,2466,,0,1,0,0,,0,0,,1,1,,0,0,,0,0,,0,0,,1,1,0,0
8,0,0,,0,0,,0,0,,0,6,6,,1,1,0,0,,0,0,,0,0,,0,0,,0,0,,-0.4,-0.4,,1,1,0.166666666666667,1
9,1,1,,0,0,,1,1,,0,6326,6326,,0,1,0,0,,2,2,,9,9,,0,0,,0,0,,-0.166666666666667,-0.166666666666667,,1,1,0,1
10,1,1,,0,0,,0,0,,0,31090,31090,,0,1,0,0,,1,1,,1,1,,0,0,,0,0,,0,0,,1,1,0,0
11,0.5,1,0.5,0.5,1,0.5,0,0,0,0.5,18392,36784,6050,0,2,0,0,0,1.5,3,0.5,7,14,0,0,0,0,0,0,0,0,0,0,2,1,0,0
12,0,0,,0,0,,0,0,,0,20,20,,0,1,0,0,,1,1,,6,6,,0,0,,0,0,,0.45625,0.45625,,1,1,0,0
13,0,0,,0,0,,0,0,,0,20658,20658,,0,1,0,0,,1,1,,1,1,,0,0,,0,0,,0,0,,1,1,0,0
14,1,3,0,0,0,0,0,0,0,0.666666666666667,4204,12612,192,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1.2,0,3,1,0,0
15,0.571428571428571,4,0.619047619047619,0.285714285714286,2,0.571428571428571,0,0,0,0.857142857142857,20605.5714285714,144239,46.2857142857119,0,7,0,0,0,0.857142857142857,6,0.476190476190476,5.71428571428571,40,18.5714285714286,0,0,0,0.142857142857143,1,0.142857142857143,0.10952380952381,0.766666666666667,0.212857142857143,3,2,0,0
16,0,0,,0,0,,0,0,,0,5315,5315,,1,1,0,0,,0,0,,2,2,,0,0,,0,0,,0,0,,1,1,0.0001881467544684,0
17,0.4,4,0.488888888888889,0.4,4,0.711111111111111,0.3,3,0.455555555555555,0.7,6259,62590,266.888888888885,0,10,0,0,0,1.7,17,1.34444444444444,4.1,41,3.21111111111111,0,0,0,0.1,1,0.0999999999999999,0.160634920634921,1.60634920634921,0.0493938019652305,4,2,0,0
18,0,0,,0,0,,0,0,,0,595,595,,0,1,0,0,,0,0,,3,3,,0,0,,0,0,,0.311111111111111,0.311111111111111,,1,1,0,0
19,0,0,,0,0,,0,0,,0,129485,129485,,0,1,0,0,,1,1,,2,2,,0,0,,0,0,,0,0,,1,1,0,0
20,1,1,,0,0,,0,0,,0,3281,3281,,1,1,0,0,,0,0,,2,2,,0,0,,0,0,,0,0,,1,1,0.0003047851264858,0
21,2,2,,2,2,,0,0,,0,1312,1312,,0,1,0,0,,1,1,,1,1,,0,0,,0,0,,0.207359307359307,0.207359307359307,,1,1,0,0
22,0.333333333333333,1,0.333333333333333,0,0,0,0,0,0,0.666666666666667,76,228,0,0,3,0,0,0,0.333333333333333,1,0.333333333333333,4,12,9,0,0,0,0,0,0,0,0,0,1,2,0,0
23,3,3,,1,1,,0,0,,0,726,726,,0,1,0,0,,0,0,,1,1,,0,0,,0,0,,0.5,0.5,,1,1,0,0
24,0,0,,0,0,,0,0,,0,23380,23380,,0,1,0,0,,0,0,,5,5,,0,0,,1,1,,0.208333333333333,0.208333333333333,,1,1,0,0
25,2.6,13,9.8,1.2,6,1.7,0,0,0,0.8,8945.6,44728,136.3,2,5,0,0,0,2,10,3.5,3.8,19,16.2,0.2,1,0.2,0,0,0,-0.151428571428571,-0.757142857142857,0.0432244897959183,5,1,0.0002235736004292,1
26,2,2,,0,0,,0,0,,0,327,327,,0,1,0,0,,0,0,,3,3,,0,0,,0,0,,0,0,,1,1,0,0
27,0,0,0,0,0,0,0,0,0,0.5,2576.5,5153,4.5,2,2,0,0,0,1,2,0,2,4,2,0,0,0,0,0,0,0.125,0.25,0.03125,1,2,0.0007762468464971,0
28,0,0,,0,0,,1,1,,0,7996,7996,,0,1,0,0,,0,0,,1,1,,0,0,,0,0,,0,0,,1,1,0,0
