,favorite_count_mean,favorite_count_sum,favorite_count_var,retweet_count_mean,retweet_count_sum,retweet_count_var,hashtags_count_mean,hashtags_count_sum,hashtags_count_var,hashtags_count_shared,user.tweets_count_mean,user.tweets_count_sum,user.tweets_count_var,is_rumor_sum,thread_length_len,user.verified_mean,user.verified_sum,user.verified_var,hasperiod_mean,hasperiod_sum,hasperiod_var,number_punct_mean,number_punct_sum,number_punct_var,negativewordcount_mean,negativewordcount_sum,negativewordcount_var,positivewordcount_mean,positivewordcount_sum,positivewordcount_var,sentimentscore_mean,sentimentscore_sum,sentimentscore_var,component_count,largest_cc_diameter,intensityscore,rumorspreader
0,0,0,,0,0,,0,0,,0,323,323,,0,1,0,0,,0,0,,2,2,,0,0,,0,0,,0,0,,1,1,0,0
1,0,0,0,0.0909090909090909,2,0.0865800865800865,0.227272727272727,5,0.46969696969697,0.863636363636364,55487.9090909091,1220734,47030.8484848483,21,22,0,0,0,1,22,0.380952380952381,7.81818181818182,172,6.15584415584416,0.181818181818182,4,0.155844155844156,0.0454545454545454,1,0.0454545454545454,-0.0770328282828282,-1.69472222222222,0.0415007450497033,4,2,0.0003784608276659,1
2,9.86206896551724,286,269.837438423645,21.3103448275862,618,2141.79310344828,0.137931034482759,4,0.123152709359606,0.931034482758621,130890.206896552,3795816,1981694.74137933,0,29,0,0,0,1.82758620689655,53,3.00492610837438,4.93103448275862,143,10.7093596059113,0,0,0,0.275862068965517,8,0.421182266009852,0.0562965769862321,1.63260073260073,0.0933563922236241,2,4,0,0
3,1,1,,0,0,,0,0,,0,2777,2777,,1,1,0,0,,1,1,,2,2,,0,0,,0,0,,0,0,,1,1,0.0003601008282319,0
4,184.5,738,45143,328.25,1313,142803.583333333,1.25,5,0.916666666666667,0.25,12864.25,51457,69160.25,0,4,1,4,0,1.75,7,0.25,10.25,41,30.25,0,0,0,0,0,0,0.0625,0.25,0.015625,1,2,0,0
5,0,0,0,0,0,0,0,0,0,0.5,866,1732,0,0,2,0,0,0,0.5,1,0.5,4.5,9,40.5,0.5,1,0.5,0,0,0,-0.0777777777777777,-0.155555555555555,0.0120987654320987,1,1,0,1
6,1,1,,1,1,,0,0,,0,2814,2814,,0,1,0,0,,0,0,,3,3,,0,0,,0,0,,0,0,,1,1,0,0
7,0,0,,0,0,,1,1,,0,4716,4716,,0,1,0,0,,1,1,,6,6,,0,0,,0,0,,-0.0555555555555555,-0.0555555555555555,,1,1,0,1
8,0.5,1,0.5,0,0,0,2,4,0,0.5,51970,103940,0,0,2,0,0,0,1,2,0,6.5,13,4.5,0,0,0,0.5,1,0.5,-0.04375,-0.0875,0.041328125,1,1,0,1
9,1,1,,0,0,,0,0,,0,51898,51898,,0,1,0,0,,2,2,,4,4,,0,0,,0,0,,-0.0666666666666666,-0.0666666666666666,,1,1,0,1
10,3,6,8,0.5,1,0.5,0,0,0,0.5,6995,13990,0,2,2,0,0,0,0.5,1,0.5,3.5,7,24.5,0,0,0,0,0,0,0.0916666666666666,0.183333333333333,0.0168055555555555,1,1,0.0002859185132237,0
11,1,2,0,0,0,0,0,0,0,0.5,12220,24440,0,2,2,0,0,0,3,6,2,8,16,0,0,0,0,0,0,0,0.142857142857143,0.285714285714286,0.0408163265306122,1,1,0.0001636661211129,0
12,0,0,,0,0,,0,0,,0,16176,16176,,0,1,0,0,,0,0,,1,1,,0,0,,0,0,,0.25,0.25,,1,1,0,0
13,1,1,,0,0,,1,1,,0,17211,17211,,0,1,0,0,,2,2,,6,6,,0,0,,0,0,,-0.342857142857143,-0.342857142857143,,1,1,0,1
14,0,0,,1,1,,2,2,,0,6398,6398,,0,1,0,0,,1,1,,14,14,,0,0,,0,0,,0.0625,0.0625,,1,1,0,0
15,0,0,0,0.333333333333333,2,0.666666666666667,0,0,0,0.833333333333333,1786.5,10719,181.5,5,6,0,0,0,0,0,0,1.5,9,1.9,0,0,0,0.333333333333333,2,0.266666666666667,0.0027777777777777,0.0166666666666666,4.62962962962959E-05,2,2,0.0027987685418415,0
16,0,0,,0,0,,0,0,,0,20488,20488,,0,1,0,0,,0,0,,1,1,,0,0,,0,0,,-0.2,-0.2,,1,1,0,1
17,0,0,,0,0,,0,0,,0,30138,30138,,0,1,0,0,,1,1,,6,6,,0,0,,0,0,,1,1,,1,1,0,0
18,2,2,,5,5,,1,1,,0,144432,144432,,0,1,0,0,,1,1,,8,8,,0,0,,1,1,,0.192857142857143,0.192857142857143,,1,1,0,0
19,0.909090909090909,10,2.69090909090909,0.727272727272727,8,1.01818181818182,0.0909090909090909,1,0.0909090909090909,0.818181818181818,46357,509927,0,11,11,0,0,0,0.181818181818182,2,0.163636363636364,5.18181818181818,57,4.56363636363636,0,0,0,0.181818181818182,2,0.163636363636364,0.137554112554113,1.51309523809524,0.0665476512574726,1,2,0.0002372888668378,0
20,0,0,,0,0,,0,0,,0,921,921,,1,1,0,0,,2,2,,3,3,,0,0,,0,0,,-0.1,-0.1,,1,1,0.001085776330076,1
21,0,0,0,0,0,0,0,0,0,0.5,231,462,0,0,2,0,0,0,1,2,0,1,2,0,1,2,0,0,0,0,-0.0357142857142857,-0.0714285714285714,0.0209637188208616,1,1,0,1
22,0.2,1,0.2,0,0,0,0,0,0,0.8,21171,105855,0,5,5,0,0,0,2.2,11,4.2,5.4,27,3.3,0,0,0,0,0,0,-0.025,-0.125,0.003125,1,1,0.0002361721222426,1
23,0,0,,1,1,,1,1,,0,9023,9023,,0,1,0,0,,2,2,,14,14,,0,0,,1,1,,0.4,0.4,,1,1,0,0
24,1,1,,0,0,,2,2,,0,2653,2653,,1,1,0,0,,1,1,,5,5,,0,0,,0,0,,0,0,,1,1,0.0003769317753486,0
