,favorite_count_mean,favorite_count_sum,favorite_count_var,retweet_count_mean,retweet_count_sum,retweet_count_var,hashtags_count_mean,hashtags_count_sum,hashtags_count_var,hashtags_count_shared,user.tweets_count_mean,user.tweets_count_sum,user.tweets_count_var,is_rumor_sum,thread_length_len,user.verified_mean,user.verified_sum,user.verified_var,hasperiod_mean,hasperiod_sum,hasperiod_var,number_punct_mean,number_punct_sum,number_punct_var,negativewordcount_mean,negativewordcount_sum,negativewordcount_var,positivewordcount_mean,positivewordcount_sum,positivewordcount_var,sentimentscore_mean,sentimentscore_sum,sentimentscore_var,component_count,largest_cc_diameter,intensityscore,rumorspreader
0,0,0,,0,0,,0,0,,0,50494,50494,,1,1,0,0,,1,1,,6,6,,0,0,,0,0,,0,0,,1,1,1.98043331881016E-05,0
1,0,0,,0,0,,0,0,,0,22120,22120,,1,1,0,0,,0,0,,1,1,,0,0,,0,0,,0,0,,1,1,4.52079566003617E-05,0
2,0.5,1,0.5,0.5,1,0.5,0,0,0,0.5,69457,138914,0,0,2,0,0,0,0,0,0,2,4,2,0,0,0,0.5,1,0.5,0,0,0,1,2,0,0
3,0,0,,0,0,,0,0,,0,3036,3036,,1,1,0,0,,1,1,,1,1,,0,0,,0,0,,0,0,,1,1,0.0003293807641633,0
4,43.3333333333333,260,3313.06666666667,184.166666666667,1105,45808.1666666667,0.5,3,0.3,0.666666666666667,5908.5,35451,19.5000000000006,2,6,0,0,0,1,6,0.4,11.5,69,19.5,0.166666666666667,1,0.166666666666667,0,0,0,0.0067129629629629,0.0402777777777777,0.0135389017489711,1,2,0.0003384953880003,0
5,0,0,,0,0,,0,0,,0,325866,325866,,1,1,0,0,,0,0,,2,2,,0,0,,0,0,,0,0,,1,1,3.06874604898946E-06,0
6,0,0,,0,0,,1,1,,0,10414,10414,,0,1,0,0,,1,1,,10,10,,0,0,,0,0,,0.0681818181818181,0.0681818181818181,,1,1,0,0
7,2,2,,0,0,,0,0,,0,33247,33247,,0,1,0,0,,3,3,,6,6,,0,0,,1,1,,0.2,0.2,,1,1,0,0
8,0,0,,0,0,,0,0,,0,2524,2524,,0,1,0,0,,0,0,,1,1,,0,0,,0,0,,0,0,,1,1,0,0
9,0,0,,0,0,,0,0,,0,135,135,,1,1,0,0,,2,2,,14,14,,0,0,,0,0,,-0.166666666666667,-0.166666666666667,,1,1,0.0074074074074074,1
10,0,0,,0,0,,0,0,,0,2429,2429,,1,1,0,0,,1,1,,8,8,,0,0,,0,0,,-0.333333333333333,-0.333333333333333,,1,1,0.0004116920543433,1
11,2,2,,0,0,,0,0,,0,10278,10278,,1,1,0,0,,1,1,,6,6,,0,0,,0,0,,0.25,0.25,,1,1,9.72951936174353E-05,0
