,favorite_count_mean,favorite_count_sum,favorite_count_var,retweet_count_mean,retweet_count_sum,retweet_count_var,hashtags_count_mean,hashtags_count_sum,hashtags_count_var,hashtags_count_shared,user.tweets_count_mean,user.tweets_count_sum,user.tweets_count_var,is_rumor_sum,thread_length_len,user.verified_mean,user.verified_sum,user.verified_var,hasperiod_mean,hasperiod_sum,hasperiod_var,number_punct_mean,number_punct_sum,number_punct_var,negativewordcount_mean,negativewordcount_sum,negativewordcount_var,positivewordcount_mean,positivewordcount_sum,positivewordcount_var,sentimentscore_mean,sentimentscore_sum,sentimentscore_var,component_count,largest_cc_diameter,intensityscore,rumorspreader
0,1,1,,0,0,,0,0,,0,7031,7031,,0,1,0,0,,3,3,,11,11,,0,0,,0,0,,0,0,,1,1,0,0
1,0,0,0,0,0,0,0,0,0,0.75,5752.25,23009,6.25,4,4,0,0,0,0,0,0,2.75,11,0.25,0,0,0,0,0,0,-0.075,-0.3,0.0079166666666666,1,2,0.0006953800686687,1
2,0,0,0,0,0,0,0,0,0,0.5,5453.5,10907,12.5,2,2,0,0,0,0,0,0,1.5,3,0.5,0,0,0,0,0,0,0,0,0,1,2,0.0003667369579169,0
3,0,0,,0,0,,0,0,,0,16784,16784,,0,1,0,0,,0,0,,0,0,,0,0,,0,0,,0.225,0.225,,1,1,0,0
4,1,1,,0,0,,1,1,,0,11779,11779,,1,1,0,0,,0,0,,1,1,,0,0,,0,0,,0,0,,1,1,8.48968503268529E-05,0
5,2,2,,0,0,,0,0,,0,49366,49366,,0,1,0,0,,0,0,,2,2,,0,0,,0,0,,0.2,0.2,,1,1,0,0
6,0,0,,0,0,,0,0,,0,10811,10811,,1,1,0,0,,1,1,,1,1,,0,0,,0,0,,0,0,,1,1,9.24983812783276E-05,0
7,0,0,,0,0,,0,0,,0,6095,6095,,0,1,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,1,0,0
8,0,0,,0,0,,0,0,,0,14075,14075,,1,1,0,0,,1,1,,9,9,,0,0,,0,0,,0.1,0.1,,1,1,7.10479573712256E-05,0
9,0,0,,0,0,,0,0,,0,10145,10145,,0,1,0,0,,3,3,,18,18,,0,0,,0,0,,0,0,,1,1,0,0
10,0,0,,0,0,,0,0,,0,125,125,,0,1,0,0,,0,0,,8,8,,0,0,,0,0,,0.525,0.525,,1,1,0,0
11,0,0,,0,0,,0,0,,0,1036,1036,,1,1,0,0,,3,3,,5,5,,0,0,,0,0,,0.425,0.425,,1,1,0.0009652509652509,0
12,0,0,,0,0,,0,0,,0,2150,2150,,1,1,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,1,0.0004651162790697,0
13,0,0,0,0,0,0,0,0,0,0.5,515,1030,2,2,2,0,0,0,0.5,1,0.5,3.5,7,0.5,0,0,0,0,0,0,0.136904761904762,0.273809523809524,0.0119756235827664,2,1,0.003883495145631,0
14,0,0,,0,0,,0,0,,0,724,724,,1,1,0,0,,1,1,,1,1,,0,0,,0,0,,0,0,,1,1,0.0013812154696132,0
15,0,0,,0,0,,1,1,,0,53513,53513,,1,1,0,0,,0,0,,4,4,,0,0,,0,0,,0,0,,1,1,1.86870480070263E-05,0
16,0,0,,0,0,,0,0,,0,23680,23680,,1,1,0,0,,0,0,,8,8,,0,0,,0,0,,0,0,,1,1,4.22297297297297E-05,0
17,0,0,,0,0,,0,0,,0,5488,5488,,0,1,0,0,,0,0,,3,3,,0,0,,0,0,,0.625,0.625,,1,1,0,0
