,favorite_count_mean,favorite_count_sum,favorite_count_var,retweet_count_mean,retweet_count_sum,retweet_count_var,hashtags_count_mean,hashtags_count_sum,hashtags_count_var,hashtags_count_shared,user.tweets_count_mean,user.tweets_count_sum,user.tweets_count_var,is_rumor_sum,thread_length_len,user.verified_mean,user.verified_sum,user.verified_var,hasperiod_mean,hasperiod_sum,hasperiod_var,number_punct_mean,number_punct_sum,number_punct_var,negativewordcount_mean,negativewordcount_sum,negativewordcount_var,positivewordcount_mean,positivewordcount_sum,positivewordcount_var,sentimentscore_mean,sentimentscore_sum,sentimentscore_var,component_count,largest_cc_diameter,intensityscore,rumorspreader
0,0,0,,0,0,,0,0,,0,20666,20666,,1,1,0,0,,1,1,,2,2,,0,0,,0,0,,-0.8,-0.8,,1,1,4.83886576986354E-05,1
1,0,0,,0,0,,0,0,,0,2174,2174,,0,1,0,0,,0,0,,0,0,,0,0,,0,0,,0.5,0.5,,1,1,0,0
2,0,0,,0,0,,0,0,,0,733,733,,1,1,0,0,,0,0,,5,5,,0,0,,0,0,,0,0,,1,1,0.0013642564802182,0
3,3,3,,0,0,,0,0,,0,3388,3388,,1,1,0,0,,1,1,,1,1,,0,0,,0,0,,0,0,,1,1,0.0002951593860684,0
4,0,0,,0,0,,0,0,,0,24957,24957,,0,1,0,0,,0,0,,7,7,,0,0,,0,0,,-0.0666666666666666,-0.0666666666666666,,1,1,0,1
5,0,0,,0,0,,0,0,,0,3859,3859,,1,1,0,0,,0,0,,2,2,,0,0,,0,0,,0,0,,1,1,0.0002591344908007,0
6,0,0,0,0,0,0,0,0,0,0.5,30516,61032,0,2,2,0,0,0,1,2,0,4,8,8,0,0,0,0,0,0,-0.125,-0.25,0.03125,1,2,6.55393891728929E-05,1
7,1,1,,0,0,,1,1,,0,3052,3052,,0,1,0,0,,1,1,,2,2,,0,0,,1,1,,0,0,,1,1,0,0
8,7,7,,8,8,,0,0,,0,2855,2855,,0,1,0,0,,2,2,,2,2,,0,0,,1,1,,0,0,,1,1,0,0
9,0,0,,0,0,,0,0,,0,14766,14766,,0,1,0,0,,0,0,,1,1,,0,0,,0,0,,0.5,0.5,,1,1,0,0
10,0.0416666666666666,1,0.0416666666666666,0,0,0,0,0,0,0.958333333333333,239,5736,1.56521739130435,0,24,0,0,0,2.29166666666667,55,2.30253623188406,7.16666666666667,172,7.53623188405797,0,0,0,0.125,3,0.114130434782609,0.160690235690236,3.85656565656566,0.0783815172845421,1,2,0,0
11,0,0,,0,0,,0,0,,0,39540,39540,,1,1,0,0,,2,2,,3,3,,0,0,,0,0,,0,0,,1,1,2.52908447142134E-05,0
12,0,0,,1,1,,0,0,,0,4927,4927,,0,1,0,0,,0,0,,5,5,,0,0,,0,0,,0,0,,1,1,0,0
13,0,0,,0,0,,0,0,,0,28616,28616,,0,1,0,0,,3,3,,8,8,,1,1,,0,0,,0.0672727272727272,0.0672727272727272,,1,1,0,0
14,0.5,1,0.5,0,0,0,0,0,0,0.5,1352,2704,0,0,2,0,0,0,3,6,0,4,8,0,0,0,0,0.5,1,0.5,0.05,0.1,0.005,1,2,0,0
15,0.5,1,0.5,0,0,0,0,0,0,0.5,1169,2338,0,1,2,0,0,0,1.5,3,0.5,3,6,2,0,0,0,0.5,1,0.5,-0.0124999999999999,-0.0249999999999999,0.0003124999999999,2,1,0.0008554319931565,1
16,0,0,,0,0,,0,0,,0,2419,2419,,1,1,0,0,,1,1,,1,1,,0,0,,0,0,,0,0,,1,1,0.0004133939644481,0
17,0,0,,1,1,,1,1,,0,7846,7846,,1,1,0,0,,2,2,,11,11,,0,0,,0,0,,0,0,,1,1,0.0001274534794799,0
18,0,0,0,0,0,0,0,0,0,0.5,9264,18528,0,0,2,0,0,0,0.5,1,0.5,3,6,2,0,0,0,0,0,0,-0.0033333333333333,-0.0066666666666666,2.22222222222218E-05,1,1,0,1
19,423.5,847,168780.5,451,902,232562,0.5,1,0.5,0,34309.5,68619,0.5,1,2,1,2,0,1,2,2,3.5,7,24.5,0,0,0,0,0,0,-0.225,-0.45,0.10125,1,2,2.91464463195325E-05,1
