favorite_count_mean,favorite_count_sum,favorite_count_var,retweet_count_mean,retweet_count_sum,retweet_count_var,hashtags_count_mean,hashtags_count_sum,hashtags_count_var,hashtags_count_shared,user.tweets_count_mean,user.tweets_count_sum,user.tweets_count_var,is_rumor_sum,thread_length_len,user.verified_mean,user.verified_sum,user.verified_var,hasperiod_mean,hasperiod_sum,hasperiod_var,number_punct_mean,number_punct_sum,number_punct_var,negativewordcount_mean,negativewordcount_sum,negativewordcount_var,positivewordcount_mean,positivewordcount_sum,positivewordcount_var,sentimentscore_mean,sentimentscore_sum,sentimentscore_var,component_count,largest_cc_diameter,intensityscore,rumorspreader
0.0,0,,0.0,0,,1.0,1,,0.0,24066.0,24066,,0,1,0.0,0,,3.0,3,,6.0,6,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0,0
0.0,0,,0.0,0,,0.0,0,,0.0,1626.0,1626,,0,1,0.0,0,,1.0,1,,4.0,4,,0.0,0,,0.0,0,,-0.1666666666666666,-0.1666666666666666,,1,1,0.0,0
1.0,2,0.0,0.0,0,0.0,0.0,0,0.0,0.5,1650.5,3301,0.5,0,2,0.0,0,0.0,2.0,4,2.0,4.0,8,0.0,0.0,0,0.0,0.0,0,0.0,0.2020833333333333,0.4041666666666666,0.029634530895691628,1,2,0.0,0
0.0,0,,0.0,0,,0.0,0,,0.0,3737.0,3737,,0,1,0.0,0,,5.0,5,,6.0,6,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0,0
0.0,0,0.0,0.0,0,0.0,1.5,3,4.5,0.0,10721.5,21443,220.5,0,2,0.0,0,0.0,0.0,0,0.0,3.0,6,8.0,0.0,0,0.0,0.5,1,0.5,0.21875,0.4375,0.095703125,2,1,0.0,0
1.0,1,,0.0,0,,0.0,0,,0.0,51.0,51,,0,1,0.0,0,,3.0,3,,4.0,4,,0.0,0,,0.0,0,,0.2,0.2,,1,1,0.0,0
66.0,66,,112.0,112,,0.0,0,,0.0,11067.0,11067,,0,1,0.0,0,,0.0,0,,2.0,2,,0.0,0,,0.0,0,,0.0999999999999999,0.0999999999999999,,1,1,0.0,0
0.0,0,,0.0,0,,0.0,0,,0.0,2466.0,2466,,0,1,0.0,0,,0.0,0,,1.0,1,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0,0
0.0,0,,0.0,0,,0.0,0,,0.0,6.0,6,,1,1,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,-0.4,-0.4,,1,1,0.16666666666666666,0
1.0,1,,0.0,0,,1.0,1,,0.0,6326.0,6326,,0,1,0.0,0,,2.0,2,,9.0,9,,0.0,0,,0.0,0,,-0.1666666666666666,-0.1666666666666666,,1,1,0.0,0
