favorite_count_mean,favorite_count_sum,favorite_count_var,retweet_count_mean,retweet_count_sum,retweet_count_var,hashtags_count_mean,hashtags_count_sum,hashtags_count_var,hashtags_count_shared,user.tweets_count_mean,user.tweets_count_sum,user.tweets_count_var,is_rumor_sum,thread_length_len,user.verified_mean,user.verified_sum,user.verified_var,hasperiod_mean,hasperiod_sum,hasperiod_var,number_punct_mean,number_punct_sum,number_punct_var,negativewordcount_mean,negativewordcount_sum,negativewordcount_var,positivewordcount_mean,positivewordcount_sum,positivewordcount_var,sentimentscore_mean,sentimentscore_sum,sentimentscore_var,component_count,largest_cc_diameter,intensityscore,rumorspreader
0.0,0,,0.0,0,,0.0,0,,0.0,323.0,323,,0,1,0.0,0,,0.0,0,,2.0,2,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0,0
0.0,0,0.0,0.09090909090909091,2,0.08658008658008656,0.22727272727272727,5,0.46969696969696967,0.8636363636363636,55487.90909090909,1220734,47030.84848484832,21,22,0.0,0,0.0,1.0,22,0.3809523809523811,7.818181818181818,172,6.155844155844156,0.18181818181818182,4,0.15584415584415584,0.045454545454545456,1,0.04545454545454545,-0.07703282828282827,-1.694722222222222,0.04150074504970337,4,2,0.000378460827665978,0
9.862068965517242,286,269.8374384236453,21.310344827586206,618,2141.793103448276,0.13793103448275862,4,0.1231527093596059,0.9310344827586207,130890.20689655172,3795816,1981694.7413793255,0,29,0.0,0,0.0,1.8275862068965518,53,3.0049261083743835,4.931034482758621,143,10.709359605911333,0.0,0,0.0,0.27586206896551724,8,0.42118226600985226,0.05629657698623216,1.6326007326007326,0.09335639222362414,2,4,0.0,0
1.0,1,,0.0,0,,0.0,0,,0.0,2777.0,2777,,1,1,0.0,0,,1.0,1,,2.0,2,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.00036010082823190496,0
184.5,738,45143.0,328.25,1313,142803.58333333334,1.25,5,0.9166666666666666,0.25,12864.25,51457,69160.25000000001,0,4,1.0,4,0.0,1.75,7,0.25,10.25,41,30.25,0.0,0,0.0,0.0,0,0.0,0.0625,0.25,0.015625,1,2,0.0,0
0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.5,866.0,1732,0.0,0,2,0.0,0,0.0,0.5,1,0.5,4.5,9,40.5,0.5,1,0.5,0.0,0,0.0,-0.07777777777777775,-0.1555555555555555,0.012098765432098757,1,1,0.0,0
1.0,1,,1.0,1,,0.0,0,,0.0,2814.0,2814,,0,1,0.0,0,,0.0,0,,3.0,3,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0,0
0.0,0,,0.0,0,,1.0,1,,0.0,4716.0,4716,,0,1,0.0,0,,1.0,1,,6.0,6,,0.0,0,,0.0,0,,-0.0555555555555555,-0.0555555555555555,,1,1,0.0,0
0.5,1,0.5,0.0,0,0.0,2.0,4,0.0,0.5,51970.0,103940,0.0,0,2,0.0,0,0.0,1.0,2,0.0,6.5,13,4.5,0.0,0,0.0,0.5,1,0.5,-0.04375,-0.0875,0.041328125,1,1,0.0,0
1.0,1,,0.0,0,,0.0,0,,0.0,51898.0,51898,,0,1,0.0,0,,2.0,2,,4.0,4,,0.0,0,,0.0,0,,-0.0666666666666666,-0.0666666666666666,,1,1,0.0,0
