favorite_count_mean,favorite_count_sum,favorite_count_var,retweet_count_mean,retweet_count_sum,retweet_count_var,hashtags_count_mean,hashtags_count_sum,hashtags_count_var,hashtags_count_shared,user.tweets_count_mean,user.tweets_count_sum,user.tweets_count_var,is_rumor_sum,thread_length_len,user.verified_mean,user.verified_sum,user.verified_var,hasperiod_mean,hasperiod_sum,hasperiod_var,number_punct_mean,number_punct_sum,number_punct_var,negativewordcount_mean,negativewordcount_sum,negativewordcount_var,positivewordcount_mean,positivewordcount_sum,positivewordcount_var,sentimentscore_mean,sentimentscore_sum,sentimentscore_var,component_count,largest_cc_diameter,intensityscore,rumorspreader
0.0,0,,0.0,0,,0.0,0,,0.0,50494.0,50494,,1,1,0.0,0,,1.0,1,,6.0,6,,0.0,0,,0.0,0,,0.0,0.0,,1,1,1.9804333188101555e-05,0
0.0,0,,0.0,0,,0.0,0,,0.0,22120.0,22120,,1,1,0.0,0,,0.0,0,,1.0,1,,0.0,0,,0.0,0,,0.0,0.0,,1,1,4.5207956600361664e-05,0
0.5,1,0.5,0.5,1,0.5,0.0,0,0.0,0.5,69457.0,138914,0.0,0,2,0.0,0,0.0,0.0,0,0.0,2.0,4,2.0,0.0,0,0.0,0.5,1,0.5,0.0,0.0,0.0,1,2,0.0,0
0.0,0,,0.0,0,,0.0,0,,0.0,3036.0,3036,,1,1,0.0,0,,1.0,1,,1.0,1,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.00032938076416337287,0
43.333333333333336,260,3313.0666666666666,184.16666666666666,1105,45808.16666666667,0.5,3,0.30000000000000004,0.6666666666666667,5908.5,35451,19.500000000000636,2,6,0.0,0,0.0,1.0,6,0.4,11.5,69,19.5,0.16666666666666666,1,0.16666666666666669,0.0,0,0.0,0.006712962962962965,0.04027777777777779,0.013538901748971188,1,2,0.0003384953880003385,0
0.0,0,,0.0,0,,0.0,0,,0.0,325866.0,325866,,1,1,0.0,0,,0.0,0,,2.0,2,,0.0,0,,0.0,0,,0.0,0.0,,1,1,3.068746048989462e-06,0
0.0,0,,0.0,0,,1.0,1,,0.0,10414.0,10414,,0,1,0.0,0,,1.0,1,,10.0,10,,0.0,0,,0.0,0,,0.0681818181818181,0.0681818181818181,,1,1,0.0,0
2.0,2,,0.0,0,,0.0,0,,0.0,33247.0,33247,,0,1,0.0,0,,3.0,3,,6.0,6,,0.0,0,,1.0,1,,0.2,0.2,,1,1,0.0,0
0.0,0,,0.0,0,,0.0,0,,0.0,2524.0,2524,,0,1,0.0,0,,0.0,0,,1.0,1,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0,0
0.0,0,,0.0,0,,0.0,0,,0.0,135.0,135,,1,1,0.0,0,,2.0,2,,14.0,14,,0.0,0,,0.0,0,,-0.1666666666666666,-0.1666666666666666,,1,1,0.007407407407407408,0
0.0,0,,0.0,0,,0.0,0,,0.0,2429.0,2429,,1,1,0.0,0,,1.0,1,,8.0,8,,0.0,0,,0.0,0,,-0.3333333333333333,-0.3333333333333333,,1,1,0.0004116920543433512,0
2.0,2,,0.0,0,,0.0,0,,0.0,10278.0,10278,,1,1,0.0,0,,1.0,1,,6.0,6,,0.0,0,,0.0,0,,0.25,0.25,,1,1,9.72951936174353e-05,0
0.5,1,0.5,0.0,0,0.0,0.0,0,0.0,0.5,9.0,18,0.0,0,2,0.0,0,0.0,0.5,1,0.5,0.5,1,0.5,0.0,0,0.0,0.0,0,0.0,-0.01249999999999995,-0.0249999999999999,0.0003124999999999975,1,2,0.0,0
7.0,7,,31.0,31,,1.0,1,,0.0,43933.0,43933,,1,1,1.0,1,,2.0,2,,18.0,18,,0.0,0,,0.0,0,,0.0,0.0,,1,1,2.2761932943345547e-05,0
0.0,0,,0.0,0,,0.0,0,,0.0,1660.0,1660,,1,1,0.0,0,,1.0,1,,8.0,8,,0.0,0,,0.0,0,,0.025,0.025,,1,1,0.0006024096385542169,0
0.0,0,0.0,0.5,1,0.5,0.5,1,0.5,0.0,37904.0,75808,0.0,1,2,0.0,0,0.0,2.5,5,0.5,15.0,30,2.0,0.0,0,0.0,0.0,0,0.0,0.0833333333333333,0.1666666666666666,0.013888888888888878,2,1,2.6382439848037146e-05,0
1.0,1,,0.0,0,,0.0,0,,0.0,28581.0,28581,,1,1,0.0,0,,6.0,6,,10.0,10,,0.0,0,,1.0,1,,0.0,0.0,,1,1,3.49882789265596e-05,0
0.0,0,,0.0,0,,1.0,1,,0.0,2981.0,2981,,0,1,0.0,0,,1.0,1,,3.0,3,,0.0,0,,0.0,0,,-0.5,-0.5,,1,1,0.0,0
0.0,0,,0.0,0,,0.0,0,,0.0,14547.0,14547,,1,1,0.0,0,,0.0,0,,8.0,8,,0.0,0,,0.0,0,,0.0,0.0,,1,1,6.87426960885406e-05,0
0.0,0,,0.0,0,,1.0,1,,0.0,1631.0,1631,,1,1,0.0,0,,1.0,1,,12.0,12,,0.0,0,,0.0,0,,-0.1666666666666666,-0.1666666666666666,,1,1,0.0006131207847946045,0
0.0,0,,0.0,0,,2.0,2,,0.0,1576.0,1576,,1,1,0.0,0,,4.0,4,,7.0,7,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0006345177664974619,0
0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.8,17874.4,89372,4392.2999999999665,0,5,0.0,0,0.0,1.0,5,0.5,2.4,12,0.8,0.0,0,0.0,0.0,0,0.0,0.18,0.9,0.08075,1,1,0.0,0
1.0,1,,0.0,0,,0.0,0,,0.0,2534.0,2534,,1,1,0.0,0,,0.0,0,,0.0,0,,1.0,1,,0.0,0,,-0.5,-0.5,,1,1,0.0003946329913180742,0
0.0,0,,0.0,0,,0.0,0,,0.0,1504.0,1504,,1,1,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0006648936170212766,0
0.0,0,0.0,0.4,2,0.30000000000000004,1.0,5,0.0,0.8,32298.0,161490,0.0,1,5,1.0,5,0.0,2.2,11,0.7,17.0,85,38.0,0.0,0,0.0,0.0,0,0.0,0.017636363636363638,0.0881818181818182,0.014464297520661158,4,2,3.096166945321692e-05,0
0.0,0,,0.0,0,,1.0,1,,0.0,24415.0,24415,,0,1,0.0,0,,2.0,2,,17.0,17,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0,0
0.0,0,,0.0,0,,1.0,1,,0.0,161.0,161,,0,1,0.0,0,,1.0,1,,15.0,15,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0,0
1.0,1,,0.0,0,,0.0,0,,0.0,467.0,467,,0,1,0.0,0,,0.0,0,,6.0,6,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0,0
0.0,0,,0.0,0,,0.0,0,,0.0,16995.0,16995,,0,1,0.0,0,,0.0,0,,3.0,3,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0,0
1.0,1,,0.0,0,,0.0,0,,0.0,25469.0,25469,,1,1,0.0,0,,0.0,0,,2.0,2,,0.0,0,,0.0,0,,0.0,0.0,,1,1,3.926341827319486e-05,0
1.0,1,,1.0,1,,0.0,0,,0.0,10239.0,10239,,0,1,0.0,0,,3.0,3,,4.0,4,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0,0
0.0,0,,0.0,0,,0.0,0,,0.0,8521.0,8521,,1,1,0.0,0,,1.0,1,,3.0,3,,0.0,0,,0.0,0,,0.1,0.1,,1,1,0.00011735711770918906,0
0.0,0,,0.0,0,,0.0,0,,0.0,766.0,766,,1,1,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0013054830287206266,0
0.5,1,0.5,0.0,0,0.0,0.0,0,0.0,0.5,25519.0,51038,0.0,2,2,0.0,0,0.0,0.5,1,0.5,7.0,14,8.0,0.0,0,0.0,0.0,0,0.0,0.125,0.25,0.03125,1,1,7.837297699753124e-05,0
0.0,0,,0.0,0,,0.0,0,,0.0,332.0,332,,0,1,0.0,0,,1.0,1,,1.0,1,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0,0
0.0,0,,0.0,0,,0.0,0,,0.0,1212.0,1212,,1,1,0.0,0,,1.0,1,,1.0,1,,1.0,1,,0.0,0,,-0.5,-0.5,,1,1,0.0008250825082508251,0
1.0,3,1.0,0.0,0,0.0,0.0,0,0.0,0.6666666666666667,9603.333333333334,28810,120.33333333332757,3,3,0.0,0,0.0,0.3333333333333333,1,0.33333333333333337,5.333333333333333,16,4.333333333333334,0.0,0,0.0,0.0,0,0.0,0.09999999999999999,0.3,0.03,1,1,0.0003123915307185005,0
0.0,0,,0.0,0,,0.0,0,,0.0,26194.0,26194,,1,1,0.0,0,,0.0,0,,7.0,7,,0.0,0,,0.0,0,,0.0,0.0,,1,1,3.817668168282813e-05,0
0.0,0,,0.0,0,,0.0,0,,0.0,7826.0,7826,,0,1,0.0,0,,1.0,1,,5.0,5,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0,0
0.0,0,,0.0,0,,0.0,0,,0.0,482.0,482,,1,1,0.0,0,,0.0,0,,1.0,1,,0.0,0,,0.0,0,,0.8,0.8,,1,1,0.002074688796680498,0
1.0,1,,0.0,0,,0.0,0,,0.0,64.0,64,,0,1,0.0,0,,0.0,0,,1.0,1,,1.0,1,,0.0,0,,-0.5,-0.5,,1,1,0.0,0
0.0,0,,0.0,0,,0.0,0,,0.0,56750.0,56750,,0,1,0.0,0,,2.0,2,,7.0,7,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0,0
0.0,0,,0.0,0,,0.0,0,,0.0,894.0,894,,0,1,0.0,0,,0.0,0,,3.0,3,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0,0
0.0,0,,0.0,0,,0.0,0,,0.0,1626.0,1626,,0,1,0.0,0,,1.0,1,,2.0,2,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0,0
0.0,0,,0.0,0,,0.0,0,,0.0,27913.0,27913,,1,1,0.0,0,,1.0,1,,2.0,2,,0.0,0,,0.0,0,,0.0,0.0,,1,1,3.582560097445635e-05,0
0.0,0,,0.0,0,,0.0,0,,0.0,561.0,561,,0,1,0.0,0,,3.0,3,,8.0,8,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0,0
1.0,1,,0.0,0,,0.0,0,,0.0,12544.0,12544,,0,1,0.0,0,,1.0,1,,5.0,5,,0.0,0,,1.0,1,,0.4,0.4,,1,1,0.0,0
0.0,0,,3.0,3,,2.0,2,,0.0,4610.0,4610,,1,1,0.0,0,,0.0,0,,3.0,3,,0.0,0,,0.0,0,,0.1333333333333333,0.1333333333333333,,1,1,0.00021691973969631235,0
0.0,0,,0.0,0,,0.0,0,,0.0,4095.0,4095,,1,1,0.0,0,,0.0,0,,3.0,3,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0002442002442002442,0
0.0,0,,0.0,0,,0.0,0,,0.0,23323.0,23323,,1,1,0.0,0,,2.0,2,,2.0,2,,0.0,0,,0.0,0,,-1.0,-1.0,,1,1,4.287613085795138e-05,0
1.0,1,,0.0,0,,0.0,0,,0.0,596.0,596,,0,1,0.0,0,,0.0,0,,1.0,1,,0.0,0,,1.0,1,,-0.275,-0.275,,1,1,0.0,0
5.0,5,,10.0,10,,0.0,0,,0.0,55309.0,55309,,1,1,0.0,0,,0.0,0,,6.0,6,,0.0,0,,0.0,0,,0.5,0.5,,1,1,1.8080240105588603e-05,0
0.0,0,0.0,0.0,0,0.0,0.25,2,0.21428571428571427,0.75,43349.5,346796,0.2857142857175624,0,8,0.0,0,0.0,1.0,8,1.1428571428571426,4.125,33,3.8392857142857144,0.125,1,0.12500000000000003,0.5,4,0.2857142857142857,0.08352272727272728,0.6681818181818182,0.09061356257378983,1,2,0.0,0
1.0,1,,0.0,0,,0.0,0,,0.0,215.0,215,,0,1,0.0,0,,0.0,0,,3.0,3,,0.0,0,,0.0,0,,-0.1666666666666666,-0.1666666666666666,,1,1,0.0,0
0.0,0,,0.0,0,,1.0,1,,0.0,481.0,481,,0,1,0.0,0,,1.0,1,,16.0,16,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0,0
0.0,0,,0.0,0,,0.0,0,,0.0,4930.0,4930,,0,1,0.0,0,,0.0,0,,1.0,1,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0,0
0.0,0,,1.0,1,,0.0,0,,0.0,4890.0,4890,,0,1,0.0,0,,1.0,1,,2.0,2,,0.0,0,,0.0,0,,-0.1,-0.1,,1,1,0.0,0
0.25,1,0.25,0.0,0,0.0,0.0,0,0.0,0.75,26222.0,104888,399.9999999999879,4,4,0.0,0,0.0,0.25,1,0.25,14.0,56,68.66666666666667,0.75,3,0.25000000000000006,0.0,0,0.0,-0.125,-0.5,0.06250000000000001,1,2,0.00015254366562428496,0
