favorite_count_mean,favorite_count_sum,favorite_count_var,retweet_count_mean,retweet_count_sum,retweet_count_var,hashtags_count_mean,hashtags_count_sum,hashtags_count_var,hashtags_count_shared,user.tweets_count_mean,user.tweets_count_sum,user.tweets_count_var,is_rumor_sum,thread_length_len,user.verified_mean,user.verified_sum,user.verified_var,hasperiod_mean,hasperiod_sum,hasperiod_var,number_punct_mean,number_punct_sum,number_punct_var,negativewordcount_mean,negativewordcount_sum,negativewordcount_var,positivewordcount_mean,positivewordcount_sum,positivewordcount_var,sentimentscore_mean,sentimentscore_sum,sentimentscore_var,component_count,largest_cc_diameter,intensityscore,rumorspreader
1.0,1,,0.0,0,,0.0,0,,0.0,7031.0,7031,,0,1,0.0,0,,3.0,3,,11.0,11,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0,0
0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.75,5752.25,23009,6.25,4,4,0.0,0,0.0,0.0,0,0.0,2.75,11,0.25000000000000006,0.0,0,0.0,0.0,0,0.0,-0.075,-0.3,0.007916666666666666,1,2,0.0006953800686687818,0
0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.5,5453.5,10907,12.5,2,2,0.0,0,0.0,0.0,0,0.0,1.5,3,0.5,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,2,0.0003667369579169341,0
0.0,0,,0.0,0,,0.0,0,,0.0,16784.0,16784,,0,1,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.225,0.225,,1,1,0.0,0
1.0,1,,0.0,0,,1.0,1,,0.0,11779.0,11779,,1,1,0.0,0,,0.0,0,,1.0,1,,0.0,0,,0.0,0,,0.0,0.0,,1,1,8.489685032685287e-05,0
2.0,2,,0.0,0,,0.0,0,,0.0,49366.0,49366,,0,1,0.0,0,,0.0,0,,2.0,2,,0.0,0,,0.0,0,,0.2,0.2,,1,1,0.0,0
0.0,0,,0.0,0,,0.0,0,,0.0,10811.0,10811,,1,1,0.0,0,,1.0,1,,1.0,1,,0.0,0,,0.0,0,,0.0,0.0,,1,1,9.249838127832763e-05,0
0.0,0,,0.0,0,,0.0,0,,0.0,6095.0,6095,,0,1,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0,0
0.0,0,,0.0,0,,0.0,0,,0.0,14075.0,14075,,1,1,0.0,0,,1.0,1,,9.0,9,,0.0,0,,0.0,0,,0.1,0.1,,1,1,7.104795737122558e-05,0
0.0,0,,0.0,0,,0.0,0,,0.0,10145.0,10145,,0,1,0.0,0,,3.0,3,,18.0,18,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0,0
