favorite_count_mean,favorite_count_sum,favorite_count_var,retweet_count_mean,retweet_count_sum,retweet_count_var,hashtags_count_mean,hashtags_count_sum,hashtags_count_var,hashtags_count_shared,user.tweets_count_mean,user.tweets_count_sum,user.tweets_count_var,is_rumor_sum,thread_length_len,user.verified_mean,user.verified_sum,user.verified_var,hasperiod_mean,hasperiod_sum,hasperiod_var,number_punct_mean,number_punct_sum,number_punct_var,negativewordcount_mean,negativewordcount_sum,negativewordcount_var,positivewordcount_mean,positivewordcount_sum,positivewordcount_var,sentimentscore_mean,sentimentscore_sum,sentimentscore_var,component_count,largest_cc_diameter,intensityscore,rumorspreader
0.0,0,,0.0,0,,0.0,0,,0.0,20666.0,20666,,1,1,0.0,0,,1.0,1,,2.0,2,,0.0,0,,0.0,0,,-0.8,-0.8,,1,1,4.838865769863544e-05,0
0.0,0,,0.0,0,,0.0,0,,0.0,2174.0,2174,,0,1,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.5,0.5,,1,1,0.0,0
0.0,0,,0.0,0,,0.0,0,,0.0,733.0,733,,1,1,0.0,0,,0.0,0,,5.0,5,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.001364256480218281,0
3.0,3,,0.0,0,,0.0,0,,0.0,3388.0,3388,,1,1,0.0,0,,1.0,1,,1.0,1,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.00029515938606847696,0
0.0,0,,0.0,0,,0.0,0,,0.0,24957.0,24957,,0,1,0.0,0,,0.0,0,,7.0,7,,0.0,0,,0.0,0,,-0.0666666666666666,-0.0666666666666666,,1,1,0.0,0
0.0,0,,0.0,0,,0.0,0,,0.0,3859.0,3859,,1,1,0.0,0,,0.0,0,,2.0,2,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0002591344908007256,0
0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.5,30516.0,61032,0.0,2,2,0.0,0,0.0,1.0,2,0.0,4.0,8,8.0,0.0,0,0.0,0.0,0,0.0,-0.125,-0.25,0.03125,1,2,6.553938917289291e-05,0
1.0,1,,0.0,0,,1.0,1,,0.0,3052.0,3052,,0,1,0.0,0,,1.0,1,,2.0,2,,0.0,0,,1.0,1,,0.0,0.0,,1,1,0.0,0
7.0,7,,8.0,8,,0.0,0,,0.0,2855.0,2855,,0,1,0.0,0,,2.0,2,,2.0,2,,0.0,0,,1.0,1,,0.0,0.0,,1,1,0.0,0
0.0,0,,0.0,0,,0.0,0,,0.0,14766.0,14766,,0,1,0.0,0,,0.0,0,,1.0,1,,0.0,0,,0.0,0,,0.5,0.5,,1,1,0.0,0
0.041666666666666664,1,0.041666666666666664,0.0,0,0.0,0.0,0,0.0,0.9583333333333334,239.0,5736,1.5652173913043537,0,24,0.0,0,0.0,2.2916666666666665,55,2.302536231884058,7.166666666666667,172,7.536231884057972,0.0,0,0.0,0.125,3,0.11413043478260869,0.1606902356902357,3.8565656565656563,0.0783815172845421,1,2,0.0,0
0.0,0,,0.0,0,,0.0,0,,0.0,39540.0,39540,,1,1,0.0,0,,2.0,2,,3.0,3,,0.0,0,,0.0,0,,0.0,0.0,,1,1,2.5290844714213454e-05,0
0.0,0,,1.0,1,,0.0,0,,0.0,4927.0,4927,,0,1,0.0,0,,0.0,0,,5.0,5,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0,0
0.0,0,,0.0,0,,0.0,0,,0.0,28616.0,28616,,0,1,0.0,0,,3.0,3,,8.0,8,,1.0,1,,0.0,0,,0.0672727272727272,0.0672727272727272,,1,1,0.0,0
0.5,1,0.5,0.0,0,0.0,0.0,0,0.0,0.5,1352.0,2704,0.0,0,2,0.0,0,0.0,3.0,6,0.0,4.0,8,0.0,0.0,0,0.0,0.5,1,0.5,0.05,0.1,0.005000000000000001,1,2,0.0,0
0.5,1,0.5,0.0,0,0.0,0.0,0,0.0,0.5,1169.0,2338,0.0,1,2,0.0,0,0.0,1.5,3,0.5,3.0,6,2.0,0.0,0,0.0,0.5,1,0.5,-0.01249999999999995,-0.0249999999999999,0.0003124999999999975,2,1,0.000855431993156544,0
0.0,0,,0.0,0,,0.0,0,,0.0,2419.0,2419,,1,1,0.0,0,,1.0,1,,1.0,1,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.00041339396444811904,0
0.0,0,,1.0,1,,1.0,1,,0.0,7846.0,7846,,1,1,0.0,0,,2.0,2,,11.0,11,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0001274534794799898,0
0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.5,9264.0,18528,0.0,0,2,0.0,0,0.0,0.5,1,0.5,3.0,6,2.0,0.0,0,0.0,0.0,0,0.0,-0.0033333333333333,-0.0066666666666666,2.222222222222178e-05,1,1,0.0,0
423.5,847,168780.5,451.0,902,232562.0,0.5,1,0.5,0.0,34309.5,68619,0.5,1,2,1.0,2,0.0,1.0,2,2.0,3.5,7,24.5,0.0,0,0.0,0.0,0,0.0,-0.225,-0.45,0.10125,1,2,2.914644631953249e-05,0
1.0,1,,0.0,0,,0.0,0,,0.0,10071.0,10071,,0,1,0.0,0,,0.0,0,,1.0,1,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0,0
0.0,0,,0.0,0,,0.0,0,,0.0,702.0,702,,1,1,0.0,0,,0.0,0,,4.0,4,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0014245014245014246,0
0.0,0,,0.0,0,,0.0,0,,0.0,175.0,175,,1,1,0.0,0,,0.0,0,,2.0,2,,0.0,0,,0.0,0,,0.25,0.25,,1,1,0.005714285714285714,0
1.0,1,,1.0,1,,0.0,0,,0.0,4264.0,4264,,1,1,0.0,0,,3.0,3,,13.0,13,,0.0,0,,0.0,0,,0.4,0.4,,1,1,0.00023452157598499062,0
0.0,0,,0.0,0,,0.0,0,,0.0,1925.0,1925,,1,1,0.0,0,,1.0,1,,1.0,1,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0005194805194805195,0
0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.5,4665.0,9330,0.0,2,2,0.0,0,0.0,0.0,0,0.0,0.5,1,0.5,0.0,0,0.0,0.0,0,0.0,-0.25,-0.5,1.125,1,2,0.00042872454448017146,0
1.0,1,,0.0,0,,0.0,0,,0.0,12756.0,12756,,0,1,0.0,0,,3.0,3,,3.0,3,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0,0
0.0,0,,1.0,1,,0.0,0,,0.0,3391.0,3391,,1,1,0.0,0,,2.0,2,,4.0,4,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0002948982601002654,0
0.0,0,,0.0,0,,0.0,0,,0.0,73.0,73,,1,1,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0136986301369863,0
0.0,0,0.0,0.3333333333333333,1,0.33333333333333337,0.0,0,0.0,0.6666666666666667,23078.0,69234,0.0,1,3,0.0,0,0.0,0.0,0,0.0,2.3333333333333335,7,0.33333333333333326,0.0,0,0.0,0.0,0,0.0,0.26666666666666666,0.8,0.21333333333333337,2,1,4.333131120547708e-05,0
0.0,0,,0.0,0,,0.0,0,,0.0,905.0,905,,0,1,0.0,0,,1.0,1,,4.0,4,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0,0
0.14285714285714285,1,0.14285714285714288,0.0,0,0.0,0.0,0,0.0,0.8571428571428572,5134.857142857143,35944,0.14285714285708837,1,7,0.0,0,0.0,0.0,0,0.0,1.2857142857142858,9,2.904761904761905,0.0,0,0.0,0.14285714285714285,1,0.14285714285714288,0.04805194805194806,0.3363636363636364,0.1252194018103109,4,2,0.0001947473848208324,0
0.0,0,,0.0,0,,0.0,0,,0.0,8755.0,8755,,0,1,0.0,0,,0.0,0,,8.0,8,,0.0,0,,1.0,1,,0.4352272727272727,0.4352272727272727,,1,1,0.0,0
0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.6666666666666667,31085.0,93255,0.0,0,3,0.0,0,0.0,0.0,0,0.0,2.3333333333333335,7,0.33333333333333337,0.3333333333333333,1,0.33333333333333337,0.3333333333333333,1,0.33333333333333337,0.0,0.0,0.0,1,2,0.0,0
1.0,1,,0.0,0,,1.0,1,,0.0,152.0,152,,0,1,0.0,0,,2.0,2,,3.0,3,,0.0,0,,1.0,1,,0.1666666666666666,0.1666666666666666,,1,1,0.0,0
1.0,1,,0.0,0,,0.0,0,,0.0,143.0,143,,0,1,0.0,0,,1.0,1,,2.0,2,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0,0
1.0,1,,0.0,0,,0.0,0,,0.0,2988.0,2988,,1,1,0.0,0,,0.0,0,,5.0,5,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.00033467202141900936,0
0.0,0,,0.0,0,,0.0,0,,0.0,11854.0,11854,,0,1,0.0,0,,0.0,0,,6.0,6,,0.0,0,,0.0,0,,0.0,0.0,,1,1,0.0,0
0.5,1,0.5,0.0,0,0.0,0.0,0,0.0,0.5,42340.0,84680,0.0,0,2,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.5,1,0.5,0.0,0,0.0,-0.18181818181818185,-0.3636363636363637,0.20247933884297517,1,1,0.0,0
0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.5,24567.0,49134,0.0,2,2,0.0,0,0.0,0.0,0,0.0,2.5,5,0.5,0.0,0,0.0,0.0,0,0.0,0.025,0.05,0.0012500000000000002,1,2,8.141002157365571e-05,0
1.0,1,,0.0,0,,0.0,0,,0.0,48408.0,48408,,0,1,0.0,0,,0.0,0,,4.0,4,,0.0,0,,0.0,0,,0.5,0.5,,1,1,0.0,0
