is_rumor,thread,in_reply_tweet,event,text,tweet_id,is_source_tweet,in_reply_user,user_id,hashtags_count,retweet_count,favorite_count,mentions_count,user.tweets_count,user.verified,user.followers_count,user.friends_count,hasperiod,number_punct,negativewordcount,positivewordcount,sentimentscore
0,524922078638903296,,ottawashooting,Ottawa police are confirming a shooting at the War Memorial. Minutes ago. No other info. #cbcOTT #OTTnews,524922078638903296,1,,18999969,2,393,21,0,38424,0,66724,296,3,5,0,0,0.0625
0,524922078638903296,5.249220786389033e+17,ottawashooting,.@dominiquehardy @CBCOttawa related to St-Jean ?,524922392582586368,0,18999969.0,2433907530,0,0,0,2,4116,0,278,636,1,3,0,0,0.0
0,524922078638903296,5.249223925825864e+17,ottawashooting,@petitmetroide @CBCOttawa Il est tôt pour une quelconque hypothèse.,524922589861658624,0,2433907530.0,15816550,0,0,0,2,19304,0,4904,2026,1,1,0,0,0.0
0,524922078638903296,5.249220786389033e+17,ottawashooting,Prudence avant d'en savoir plus “@CBCOttawa: Ottawa police are confirming a shooting at the War Memorial. Minutes ago. No other info.,524922681595269120,0,18999969.0,1206639234,0,1,0,1,16771,0,3646,2203,3,5,0,0,0.0625
0,524922078638903296,5.249226815952691e+17,ottawashooting,"@StephBerthomet Ça va être rapporté partout sans validation,sur les radio poubelles pour crée une panique collective. L'EI nous attaque !!!",524923071090917376,0,1206639234.0,347531577,0,0,0,1,8047,0,178,130,1,6,0,0,0.0
0,524922078638903296,5.249220786389033e+17,ottawashooting,“@CBCOttawa: Ottawa police are confirming a shooting at the War Memorial. Minutes ago. No other info. #cbcOTT #OTTnews”,524923096911052802,0,18999969.0,96146974,2,0,0,1,2703,0,876,873,3,6,0,0,0.0625
0,524922078638903296,5.249220786389033e+17,ottawashooting,"Wow. Drove by, saw yellow tape, assumed renos. MT @CBCOttawa: Ottawa police confirm a shooting at the War Memorial minutes ago. #OTTnews",524923429573918720,0,18999969.0,19267038,1,0,0,1,19839,0,1337,997,3,7,0,1,0.05
0,524922078638903296,5.249226815952691e+17,ottawashooting,@StephBerthomet @CBCOttawa c'est déjà sur LCN et partout.,524924278480044032,0,1206639234.0,347531577,0,0,0,2,8047,0,178,130,1,2,0,0,0.0
0,524922078638903296,5.249230710909174e+17,ottawashooting,“@RenkoQC: @StephBerthomet Ça va être ...Pkoi parles tu de radio poubelle ?,524924471992664065,0,347531577.0,582603780,0,0,0,2,1191,0,54,97,3,5,0,0,0.0
0,524922078638903296,5.249230710909174e+17,ottawashooting,@RenkoQC @StephBerthomet Heinh?? Ça va man? Tu as pris te pilules ?,524925297586888706,0,347531577.0,18669387,0,0,0,2,5475,0,210,87,0,4,0,0,0.0
